Type,Fieldset,Position,Property,Property Reference Link,Description,"Example1 "
DefinedTerm,Term,(blank),image,https://schema.org/image,"(blank)","(blank)"
DefinedTerm,Term,(blank),inDefinedTermset,https://schema.org/inDefinedTermset,"A DefinedTermSet that contains this term.","(blank)"
DefinedTerm,Term,(blank),keywords,https://schema.org/keywords,"(blank)","(blank)"
DefinedTerm,Term,(blank),sameAs,https://schema.org/sameAs,"(blank)","(blank)"
DefinedTerm,Term,(blank),subjectOf,https://schema.org/subjectOf,"(blank)","(blank)"
DefinedTerm,Term,(blank),termCode,https://schema.org/termCode,"A code that identifies this DefinedTerm within a DefinedTermSet.","1.5.1"
DefinedTerm,Term,(blank),url,https://schema.org/url,"URL of a reference Web page that unambiguously indicates the item's identity. E.g. the URL of the item's Wikipedia page, Wikidata entry, or official website.","(blank)"
DefinedTerm,Term,(blank),language,https://schema.org/language,"(blank)","en"
DefinedTerm,Term,1.1,name,https://schema.org/name,"The term name","Bounding Coordinates"
DefinedTerm,Term,1.2,description,https://schema.org/description,"(blank)","the limits of coverage of a data set expressed by latitude and longitude values in the order western-most, eastern-most, northern-most, and southern-most. For data sets that include a complete band of latitude around the earth, the West Bounding Coordinate shall be assigned the value -180.0, and the East Bounding Coordinate shall be assigned the value 180.0"
DefinedTerm,Term,1.3,alternateName,https://schema.org/alternateName,"(blank)","bounding"
